%time,field.header.seq,field.header.stamp,field.header.frame_id,field.Latitude,field.Longitude,field.Altitude,field.UTM_Easting,field.UTM_Northing,field.Zone,field.Letter
1698280381680623149,82,1698280381678859949,GPS1_Frame,42.27179666666666,-71.02830333333333,14.2,332734.08097549115,4681946.132866528,19,T
1698280382681308684,83,1698280382679088592,GPS1_Frame,42.27177,-71.02826333333334,14.3,332737.3092078691,4681943.093193685,19,T
1698280383680369823,84,1698280383678635835,GPS1_Frame,42.271755,-71.02821999999999,14.5,332740.84320057416,4681941.342450818,19,T
1698280384681009254,85,1698280384679262161,GPS1_Frame,42.27175333333333,-71.02817333333334,14.6,332744.68736023095,4681941.065706444,19,T
1698280385680903963,86,1698280385679243803,GPS1_Frame,42.27176666666666,-71.02812833333334,14.6,332748.43374623766,4681942.457851225,19,T
1698280386681508682,87,1698280386679663181,GPS1_Frame,42.27178666666667,-71.02808666666667,14.6,332751.9228660571,4681944.596818358,19,T
1698280387680637516,88,1698280387678928613,GPS1_Frame,42.27181166666666,-71.02805,14.6,332755.01286198327,4681947.300813237,19,T
1698280388681392959,89,1698280388679360628,GPS1_Frame,42.271834999999996,-71.02801500000001,14.6,332757.960998763,4681949.823015166,19,T
1698280389680473954,90,1698280389678637266,GPS1_Frame,42.27186,-71.027975,14.6,332761.3258873463,4681952.520464998,19,T
1698280390680534863,91,1698280390678566694,GPS1_Frame,42.271885000000005,-71.02793666666666,14.6,332764.55332476844,4681955.221190108,19,T
1698280391680637817,92,1698280391678714036,GPS1_Frame,42.27191333333334,-71.02790833333333,14.7,332766.96488432906,4681958.311694947,19,T
1698280392681897469,93,1698280392679947376,GPS1_Frame,42.271945,-71.027895,14.6,332768.14822145156,4681961.80179969,19,T
1698280393680561854,94,1698280393678664445,GPS1_Frame,42.27198,-71.02790166666666,14.5,332767.6909927431,4681965.701324789,19,T
1698280394680774698,95,1698280394678770780,GPS1_Frame,42.272018333333335,-71.02792833333334,14.5,332765.59320104157,4681970.0102706505,19,T
1698280395681179925,96,1698280395678948879,GPS1_Frame,42.27205666666667,-71.02796666666667,14.5,332762.53327466804,4681974.342133664,19,T
1698280396681284410,97,1698280396679154396,GPS1_Frame,42.27209833333333,-71.02801333333333,14.5,332758.7949278313,4681979.060503649,19,T
1698280397680597710,98,1698280397678858757,GPS1_Frame,42.27214000000001,-71.02805833333333,14.6,332755.1940341721,4681983.775601867,19,T
1698280398682446841,99,1698280398680538654,GPS1_Frame,42.27217833333334,-71.0281,14.7,332751.8592247312,4681988.11401785,19,T
1698280399680789834,100,1698280399678643465,GPS1_Frame,42.27221333333333,-71.02813166666667,14.9,332749.3402898917,4681992.06265495,19,T
1698280400680522689,101,1698280400678642034,GPS1_Frame,42.272245000000005,-71.02815666666667,14.9,332747.3623322724,4681995.6280604135,19,T
1698280401680804459,102,1698280401678979396,GPS1_Frame,42.27227166666667,-71.02817666666667,15.0,332745.7834944874,4681998.628439741,19,T
1698280402680031879,103,1698280402678083658,GPS1_Frame,42.27229833333334,-71.02819333333333,15.1,332744.479553484,4682001.622271165,19,T
1698280403680354449,104,1698280403678416013,GPS1_Frame,42.27232166666666,-71.028205,15.3,332743.5791394382,4682004.236144091,19,T
1698280404681380399,105,1698280404679568052,GPS1_Frame,42.272344999999994,-71.02821,15.3,332743.2285164342,4682006.83692042,19,T
1698280405680771338,106,1698280405679069519,GPS1_Frame,42.27237166666667,-71.02820166666667,15.3,332743.9862910699,4682009.781639622,19,T
1698280406680038789,107,1698280406678600072,GPS1_Frame,42.2724,-71.02817833333333,15.3,332745.9855008044,4682012.88195975,19,T
1698280407681356932,108,1698280407679324388,GPS1_Frame,42.27242666666666,-71.02813833333333,15.3,332749.3547743856,4682015.764471495,19,T
1698280408680617062,109,1698280408679039478,GPS1_Frame,42.27245,-71.02809,15.3,332753.40246528503,4682018.260478555,19,T
1698280409681089187,110,1698280409678922414,GPS1_Frame,42.272475,-71.02804166666667,15.4,332757.45456146717,4682020.941556005,19,T
1698280410681930629,111,1698280410680124044,GPS1_Frame,42.27250000000001,-71.02799166666667,15.4,332761.64410175185,4682023.619361886,19,T
1698280411680643510,112,1698280411679008722,GPS1_Frame,42.272524999999995,-71.02794333333333,15.3,332765.69619161065,4682026.3004439315,19,T
1698280412681511015,113,1698280412679663181,GPS1_Frame,42.27255,-71.02789666666666,15.3,332769.6108312078,4682028.984801914,19,T
1698280413681239081,114,1698280413678850889,GPS1_Frame,42.272571666666664,-71.02785,15.3,332773.5166521758,4682031.299025737,19,T
1698280414679599902,115,1698280414678044080,GPS1_Frame,42.27258333333332,-71.02780833333333,15.1,332776.9836831583,4682032.512663471,19,T
1698280415680800459,116,1698280415678877592,GPS1_Frame,42.27258666666667,-71.02775666666666,15.0,332781.25335705164,4682032.781321477,19,T
1698280416680849374,117,1698280416679458379,GPS1_Frame,42.272571666666664,-71.02769333333335,14.9,332786.436677697,4682030.991319134,19,T
1698280417681225353,118,1698280417679638862,GPS1_Frame,42.272536666666674,-71.02762833333333,14.9,332791.70456014527,4682026.977229918,19,T
1698280418679991116,119,1698280418678568363,GPS1_Frame,42.27249,-71.02756500000001,14.8,332796.80415112735,4682021.670941101,19,T
1698280419680542845,120,1698280419679619073,GPS1_Frame,42.272436666666664,-71.027495,14.7,332802.4359112812,4682015.611291629,19,T
1698280420682042854,121,1698280420680393695,GPS1_Frame,42.272380000000005,-71.02741666666667,14.6,332808.7461050563,4682009.165146236,19,T
1698280421682021032,122,1698280421680195331,GPS1_Frame,42.27232333333333,-71.02733333333335,14.5,332815.46865340474,4682002.709188603,19,T
1698280422683165786,123,1698280422680913209,GPS1_Frame,42.272265,-71.02724333333335,14.4,332822.73659871635,4681996.055079211,19,T
1698280423681209651,124,1698280423679434537,GPS1_Frame,42.27220833333334,-71.02714833333333,14.4,332830.42130772246,4681989.576228513,19,T
1698280424680636633,125,1698280424679003238,GPS1_Frame,42.272149999999996,-71.02704833333334,14.2,332838.5139688427,4681982.902501663,19,T
1698280425680833115,126,1698280425679167032,GPS1_Frame,42.27209166666667,-71.02694333333334,13.9,332847.0189896702,4681976.21896824,19,T
1698280426679621770,127,1698280426677543163,GPS1_Frame,42.27203166666666,-71.02683499999999,13.8,332855.7945175531,4681969.343833624,19,T
